Время[c],Напряжение[В]
0.0000,1.3367
0.0006,1.3316
0.0011,1.3316
0.0016,1.3367
0.0021,1.3367
0.0027,1.3367
0.0032,1.3367
0.0037,1.3367
0.0042,1.3367
0.0047,1.3367
0.0053,1.3367
0.0058,1.3367
0.0063,1.3367
0.0068,1.3316
0.0074,1.3367
0.0079,1.3367
0.0084,1.3316
0.0089,1.3316
0.0094,1.3367
0.0100,1.3367
0.0105,1.3316
0.0110,1.3367
0.0115,1.3367
0.0121,1.3367
0.0126,1.3367
0.0132,1.3367
0.0137,1.3367
0.0142,1.3367
0.0147,1.3316
0.0152,1.3316
0.0158,1.3367
0.0163,1.3316
0.0168,1.3316
0.0173,1.3367
0.0179,1.3316
0.0184,1.3316
0.0189,1.3316
0.0194,1.3316
0.0199,1.3367
0.0205,1.3367
0.0210,1.3316
0.0215,1.3367
0.0220,1.3316
0.0225,1.3316
0.0231,1.3316
0.0236,1.3367
0.0241,1.3367
0.0246,1.3316
0.0252,1.3367
0.0257,1.3367
0.0262,1.3367
0.0268,1.3316
0.0273,1.3367
0.0279,1.3266
0.0284,1.3367
0.0290,1.3367
0.0295,1.3367
0.0301,1.3316
0.0306,1.3367
0.0312,1.3367
0.0317,1.3316
0.0323,1.3316
0.0328,1.3316
0.0334,1.3316
0.0339,1.3316
0.0344,1.3316
0.0350,1.3316
0.0355,1.3367
0.0361,1.3367
0.0366,1.3316
0.0371,1.3367
0.0376,1.3316
0.0382,1.3367
0.0387,1.3367
0.0392,1.3316
0.0397,1.3367
0.0403,1.3316
0.0408,1.3266
0.0414,1.3316
0.0420,1.3316
0.0426,1.3266
0.0432,1.3316
0.0438,1.3316
0.0443,1.3316
0.0450,1.3367
0.0456,1.3316
0.0461,1.3316
0.0467,1.3266
0.0473,1.3316
0.0478,1.3215
0.0484,1.3316
0.0489,1.3316
0.0495,1.3367
0.0500,1.3367
0.0505,1.3316
0.0510,1.3266
0.0516,1.3316
0.0521,1.3316
0.0526,1.3316
0.0531,1.3316
0.0537,1.3367
0.0542,1.3316
0.0548,1.3316
0.0553,1.3367
0.0558,1.3367
0.0564,1.3266
0.0569,1.3367
0.0575,1.3316
0.0581,1.3316
0.0586,1.3316
0.0591,1.3316
0.0596,1.3316
0.0602,1.3367
0.0607,1.3367
0.0612,1.3316
0.0618,1.3367
0.0623,1.3316
0.0628,1.3316
0.0633,1.3316
0.0639,1.3367
0.0644,1.3367
0.0649,1.3316
0.0654,1.3316
0.0659,1.3316
0.0665,1.3367
0.0670,1.3316
0.0675,1.3266
0.0680,1.3316
0.0686,1.3367
0.0691,1.3316
0.0696,1.3316
0.0701,1.3316
0.0707,1.3266
0.0712,1.3266
0.0717,1.3316
0.0723,1.3316
0.0728,1.3316
0.0733,1.3266
0.0738,1.3316
0.0744,1.3316
0.0749,1.3316
0.0755,1.3367
0.0760,1.3367
0.0765,1.3316
0.0770,1.3316
0.0776,1.3316
0.0781,1.3316
0.0786,1.3316
0.0791,1.3316
0.0797,1.3316
0.0802,1.3316
0.0807,1.3316
0.0812,1.3316
0.0818,1.3316
0.0823,1.3266
0.0828,1.3316
0.0833,1.3316
0.0838,1.3266
0.0844,1.3266
0.0849,1.3266
0.0854,1.3266
0.0859,1.3316
0.0865,1.3316
0.0870,1.3316
0.0875,1.3316
0.0880,1.3316
0.0885,1.3316
0.0891,1.3316
0.0896,1.3266
0.0901,1.3266
0.0906,1.3316
0.0911,1.3316
0.0917,1.3266
0.0922,1.3316
0.0927,1.3266
0.0932,1.3316
0.0938,1.3316
0.0943,1.3316
0.0948,1.3316
0.0953,1.3316
0.0959,1.3266
0.0964,1.3316
0.0969,1.3316
0.0974,1.3266
0.0980,1.3266
0.0985,1.3316
0.0990,1.3316
0.0996,1.3266
0.1001,1.3266
0.1006,1.3266
0.1012,1.3266
0.1017,1.3316
0.1022,1.3266
0.1031,1.3266
0.1036,1.3316
0.1042,1.3266
0.1047,1.3266
0.1052,1.3316
0.1058,1.3316
0.1063,1.3266
0.1069,1.3266
0.1074,1.3367
0.1079,1.3316
0.1085,1.3316
0.1090,1.3316
0.1096,1.3266
0.1101,1.3316
0.1106,1.3316
0.1112,1.3316
0.1117,1.3316
0.1123,1.3316
0.1128,1.3316
0.1134,1.3266
0.1139,1.3266
0.1144,1.3266
0.1150,1.3266
0.1155,1.3316
0.1160,1.3215
0.1166,1.3316
0.1171,1.3215
0.1176,1.3266
0.1182,1.3316
0.1187,1.3266
0.1192,1.3316
0.1198,1.3316
0.1203,1.3266
0.1208,1.3266
0.1214,1.3266
0.1219,1.3266
0.1224,1.3266
0.1230,1.3266
0.1236,1.3266
0.1241,1.3316
0.1247,1.3266
0.1253,1.3266
0.1258,1.3266
0.1264,1.3266
0.1269,1.3266
0.1274,1.3266
0.1279,1.3215
0.1284,1.3215
0.1290,1.3266
0.1295,1.3266
0.1300,1.3266
0.1305,1.3316
0.1311,1.3266
0.1316,1.3266
0.1321,1.3266
0.1326,1.3266
0.1331,1.3266
0.1337,1.3215
0.1342,1.3266
0.1347,1.3215
0.1352,1.3316
0.1357,1.3266
0.1363,1.3316
0.1368,1.3215
0.1373,1.3266
0.1378,1.3316
0.1384,1.3266
0.1389,1.3215
0.1394,1.3266
0.1399,1.3266
0.1404,1.3266
0.1410,1.3266
0.1415,1.3316
0.1420,1.3266
0.1425,1.3266
0.1431,1.3215
0.1436,1.3316
0.1441,1.3266
0.1446,1.3266
0.1451,1.3215
0.1457,1.3266
0.1462,1.3266
0.1467,1.3316
0.1472,1.3266
0.1477,1.3215
0.1483,1.3215
0.1488,1.3266
0.1493,1.3266
0.1498,1.3266
0.1504,1.3215
0.1509,1.3215
0.1514,1.3215
0.1519,1.3215
0.1524,1.3266
0.1530,1.3316
0.1535,1.3266
0.1540,1.3266
0.1545,1.3266
0.1551,1.3316
0.1556,1.3266
0.1561,1.3266
0.1566,1.3266
0.1571,1.3266
0.1577,1.3266
0.1582,1.3266
0.1587,1.3215
0.1592,1.3266
0.1597,1.3215
0.1603,1.3266
0.1608,1.3316
0.1613,1.3266
0.1619,1.3316
0.1624,1.3266
0.1629,1.3266
0.1634,1.3266
0.1639,1.3215
0.1645,1.3266
0.1650,1.3266
0.1655,1.3266
0.1661,1.3266
0.1666,1.3266
0.1671,1.3266
0.1676,1.3266
0.1681,1.3266
0.1687,1.3266
0.1692,1.3266
0.1697,1.3316
0.1702,1.3316
0.1708,1.3266
0.1713,1.3266
0.1718,1.3266
0.1723,1.3215
0.1728,1.3215
0.1734,1.3215
0.1739,1.3266
0.1744,1.3266
0.1749,1.3266
0.1754,1.3266
0.1760,1.3215
0.1765,1.3266
0.1770,1.3266
0.1775,1.3215
0.1781,1.3215
0.1786,1.3215
0.1791,1.3215
0.1796,1.3266
0.1801,1.3266
0.1807,1.3266
0.1812,1.3215
0.1817,1.3215
0.1822,1.3215
0.1827,1.3215
0.1833,1.3215
0.1838,1.3215
0.1843,1.3215
0.1848,1.3266
0.1854,1.3266
0.1859,1.3266
0.1864,1.3266
0.1869,1.3266
0.1874,1.3215
0.1880,1.3215
0.1885,1.3215
0.1890,1.3215
0.1895,1.3215
0.1901,1.3215
0.1906,1.3266
0.1911,1.3215
0.1916,1.3266
0.1921,1.3266
0.1927,1.3266
0.1932,1.3266
0.1937,1.3215
0.1942,1.3266
0.1947,1.3266
0.1953,1.3215
0.1958,1.3215
0.1963,1.3266
0.1968,1.3266
0.1974,1.3266
0.1979,1.3215
0.1984,1.3266
0.1989,1.3266
0.1994,1.3266
0.2000,1.3215
0.2005,1.3215
0.2010,1.3215
0.2015,1.3266
0.2020,1.3266
0.2026,1.3215
0.2031,1.3215
0.2036,1.3266
0.2041,1.3266
0.2047,1.3266
0.2052,1.3215
0.2057,1.3165
0.2062,1.3215
0.2067,1.3215
0.2073,1.3266
0.2078,1.3266
0.2083,1.3215
0.2088,1.3266
0.2093,1.3215
0.2099,1.3266
0.2104,1.3266
0.2109,1.3215
0.2114,1.3215
0.2120,1.3266
0.2125,1.3215
0.2130,1.3266
0.2135,1.3215
0.2141,1.3215
0.2146,1.3266
0.2151,1.3316
0.2156,1.3266
0.2161,1.3215
0.2167,1.3266
0.2172,1.3266
0.2177,1.3266
0.2182,1.3266
0.2188,1.3215
0.2193,1.3215
0.2198,1.3266
0.2203,1.3266
0.2208,1.3215
0.2214,1.3266
0.2219,1.3215
0.2225,1.3165
0.2230,1.3215
0.2235,1.3215
0.2240,1.3215
0.2245,1.3266
0.2251,1.3215
0.2256,1.3266
0.2261,1.3266
0.2266,1.3215
0.2272,1.3266
0.2277,1.3316
0.2282,1.3215
0.2287,1.3266
0.2292,1.3215
0.2298,1.3215
0.2303,1.3266
0.2308,1.3215
0.2313,1.3266
0.2318,1.3215
0.2324,1.3266
0.2329,1.3215
0.2334,1.3215
0.2339,1.3215
0.2345,1.3266
0.2350,1.3266
0.2355,1.3215
0.2360,1.3215
0.2365,1.3215
0.2371,1.3266
0.2376,1.3266
0.2381,1.3215
0.2386,1.3266
0.2391,1.3215
0.2397,1.3266
0.2402,1.3266
0.2407,1.3215
0.2412,1.3266
0.2418,1.3215
0.2423,1.3266
0.2428,1.3266
0.2433,1.3266
0.2438,1.3215
0.2444,1.3266
0.2449,1.3215
0.2454,1.3215
0.2459,1.3215
0.2465,1.3266
0.2470,1.3215
0.2475,1.3266
0.2480,1.3266
0.2486,1.3266
0.2491,1.3165
0.2496,1.3266
0.2501,1.3215
0.2507,1.3215
0.2512,1.3266
0.2517,1.3266
0.2522,1.3266
0.2527,1.3266
0.2533,1.3215
0.2538,1.3316
0.2543,1.3266
0.2548,1.3215
0.2554,1.3215
0.2559,1.3215
0.2564,1.3215
0.2569,1.3266
0.2574,1.3266
0.2580,1.3266
0.2585,1.3215
0.2590,1.3266
0.2595,1.3266
0.2601,1.3316
0.2606,1.3266
0.2611,1.3215
0.2616,1.3266
0.2621,1.3266
0.2627,1.3316
0.2632,1.3266
0.2637,1.3266
0.2642,1.3316
0.2648,1.3316
0.2653,1.3316
0.2658,1.3316
0.2663,1.3266
0.2668,1.3316
0.2674,1.3266
0.2679,1.3266
0.2684,1.3316
0.2689,1.3215
0.2695,1.3266
0.2700,1.3316
0.2705,1.3316
0.2710,1.3316
0.2716,1.3316
0.2721,1.3316
0.2726,1.3316
0.2731,1.3316
0.2736,1.3367
0.2742,1.3367
0.2747,1.3316
0.2752,1.3316
0.2757,1.3316
0.2763,1.3367
0.2768,1.3367
0.2773,1.3367
0.2778,1.3417
0.2784,1.3367
0.2789,1.3316
0.2794,1.3367
0.2799,1.3367
0.2804,1.3367
0.2810,1.3367
0.2815,1.3367
0.2820,1.3367
0.2825,1.3367
0.2831,1.3417
0.2836,1.3367
0.2841,1.3367
0.2846,1.3367
0.2852,1.3417
0.2857,1.3367
0.2862,1.3367
0.2867,1.3367
0.2872,1.3417
0.2878,1.3417
0.2883,1.3417
0.2888,1.3417
0.2893,1.3417
0.2899,1.3417
0.2904,1.3367
0.2909,1.3367
0.2914,1.3417
0.2920,1.3417
0.2925,1.3417
0.2930,1.3417
0.2935,1.3417
0.2941,1.3367
0.2946,1.3367
0.2951,1.3467
0.2956,1.3467
0.2962,1.3467
0.2967,1.3467
0.2972,1.3467
0.2977,1.3467
0.2982,1.3467
0.2988,1.3467
0.2993,1.3467
0.2998,1.3467
0.3003,1.3467
0.3009,1.3467
0.3014,1.3467
0.3019,1.3417
0.3024,1.3467
0.3030,1.3467
0.3035,1.3417
0.3040,1.3417
0.3045,1.3467
0.3050,1.3467
0.3056,1.3518
0.3061,1.3467
0.3066,1.3518
0.3071,1.3518
0.3077,1.3467
0.3082,1.3518
0.3087,1.3518
0.3092,1.3518
0.3098,1.3518
0.3103,1.3518
0.3108,1.3518
0.3113,1.3518
0.3118,1.3467
0.3124,1.3467
0.3129,1.3518
0.3134,1.3518
0.3139,1.3518
0.3145,1.3467
0.3150,1.3467
0.3155,1.3518
0.3160,1.3518
0.3166,1.3467
0.3171,1.3518
0.3176,1.3518
0.3181,1.3518
0.3186,1.3467
0.3192,1.3518
0.3197,1.3518
0.3202,1.3518
0.3207,1.3568
0.3213,1.3568
0.3218,1.3518
0.3223,1.3518
0.3228,1.3518
0.3234,1.3467
0.3239,1.3518
0.3244,1.3518
0.3249,1.3568
0.3255,1.3518
0.3260,1.3518
0.3265,1.3518
0.3270,1.3518
0.3275,1.3518
0.3281,1.3518
0.3286,1.3568
0.3291,1.3518
0.3296,1.3568
0.3302,1.3518
0.3307,1.3568
0.3312,1.3568
0.3317,1.3568
0.3323,1.3568
0.3328,1.3518
0.3333,1.3568
0.3338,1.3568
0.3343,1.3568
0.3349,1.3568
0.3354,1.3568
0.3359,1.3568
0.3364,1.3568
0.3370,1.3518
0.3375,1.3518
0.3380,1.3568
0.3385,1.3568
0.3391,1.3568
0.3396,1.3568
0.3401,1.3568
0.3406,1.3619
0.3411,1.3568
0.3417,1.3518
0.3422,1.3568
0.3427,1.3568
0.3432,1.3518
0.3438,1.3568
0.3443,1.3568
0.3448,1.3518
0.3453,1.3568
0.3459,1.3568
0.3464,1.3568
0.3469,1.3619
0.3474,1.3619
0.3479,1.3619
0.3485,1.3568
0.3490,1.3568
0.3495,1.3568
0.3500,1.3568
0.3506,1.3568
0.3511,1.3619
0.3516,1.3568
0.3521,1.3568
0.3527,1.3568
0.3532,1.3619
0.3537,1.3619
0.3542,1.3518
0.3547,1.3568
0.3553,1.3568
0.3558,1.3568
0.3563,1.3619
0.3568,1.3619
0.3574,1.3568
0.3579,1.3518
0.3584,1.3619
0.3589,1.3619
0.3595,1.3619
0.3600,1.3568
0.3605,1.3518
0.3610,1.3518
0.3615,1.3568
0.3621,1.3568
0.3626,1.3619
0.3631,1.3619
0.3636,1.3619
0.3642,1.3619
0.3647,1.3568
0.3652,1.3619
0.3657,1.3619
0.3663,1.3619
0.3668,1.3568
0.3673,1.3568
0.3678,1.3619
0.3683,1.3619
0.3689,1.3568
0.3694,1.3619
0.3699,1.3568
0.3704,1.3619
0.3709,1.3568
0.3715,1.3568
0.3720,1.3568
0.3725,1.3619
0.3730,1.3568
0.3736,1.3619
0.3741,1.3568
0.3746,1.3518
0.3751,1.3568
0.3756,1.3568
0.3762,1.3568
0.3767,1.3619
0.3772,1.3619
0.3777,1.3619
0.3783,1.3619
0.3788,1.3619
0.3793,1.3568
0.3798,1.3619
0.3803,1.3568
0.3809,1.3568
0.3814,1.3619
0.3819,1.3619
0.3824,1.3619
0.3829,1.3619
0.3835,1.3568
0.3841,1.3619
0.3846,1.3568
0.3851,1.3619
0.3856,1.3619
0.3862,1.3568
0.3867,1.3568
0.3872,1.3619
0.3877,1.3568
0.3882,1.3568
0.3888,1.3568
0.3893,1.3619
0.3898,1.3619
0.3903,1.3568
0.3908,1.3619
0.3914,1.3568
0.3919,1.3568
0.3924,1.3518
0.3929,1.3619
0.3935,1.3568
0.3940,1.3568
0.3945,1.3619
0.3950,1.3568
0.3956,1.3619
0.3961,1.3568
0.3966,1.3619
0.3971,1.3568
0.3976,1.3619
0.3982,1.3619
0.3987,1.3568
0.3992,1.3518
0.3997,1.3568
0.4003,1.3568
0.4008,1.3568
0.4013,1.3619
0.4018,1.3568
0.4023,1.3568
0.4029,1.3568
0.4034,1.3568
0.4039,1.3518
0.4044,1.3568
0.4050,1.3568
0.4055,1.3568
0.4060,1.3619
0.4065,1.3619
0.4071,1.3568
0.4076,1.3568
0.4081,1.3568
0.4086,1.3568
0.4092,1.3568
0.4097,1.3619
0.4102,1.3568
0.4107,1.3619
0.4112,1.3518
0.4118,1.3568
0.4123,1.3568
0.4128,1.3568
0.4133,1.3568
0.4139,1.3568
0.4144,1.3568
0.4149,1.3568
0.4154,1.3568
0.4160,1.3568
0.4165,1.3568
0.4170,1.3568
0.4175,1.3518
0.4181,1.3568
0.4186,1.3568
0.4191,1.3568
0.4196,1.3518
0.4201,1.3518
0.4207,1.3568
0.4212,1.3568
0.4217,1.3568
0.4222,1.3568
0.4228,1.3619
0.4233,1.3568
0.4238,1.3568
0.4243,1.3568
0.4248,1.3467
0.4254,1.3518
0.4259,1.3518
0.4264,1.3568
0.4269,1.3568
0.4275,1.3568
0.4280,1.3568
0.4285,1.3568
0.4290,1.3467
0.4295,1.3568
0.4301,1.3568
0.4306,1.3518
0.4311,1.3518
0.4316,1.3568
0.4322,1.3568
0.4327,1.3568
0.4332,1.3568
0.4337,1.3518
0.4342,1.3568
0.4348,1.3568
0.4353,1.3568
0.4358,1.3568
0.4363,1.3518
0.4369,1.3518
0.4374,1.3518
0.4379,1.3568
0.4384,1.3568
0.4389,1.3568
0.4395,1.3568
0.4400,1.3568
0.4405,1.3568
0.4410,1.3518
0.4416,1.3518
0.4421,1.3467
0.4426,1.3518
0.4431,1.3518
0.4437,1.3518
0.4442,1.3518
0.4447,1.3518
0.4452,1.3518
0.4457,1.3518
0.4463,1.3568
0.4468,1.3568
0.4473,1.3518
0.4478,1.3518
0.4483,1.3467
0.4489,1.3467
0.4494,1.3467
0.4499,1.3467
0.4504,1.3518
0.4510,1.3518
0.4515,1.3518
0.4520,1.3467
0.4525,1.3467
0.4530,1.3518
0.4536,1.3518
0.4541,1.3467
0.4546,1.3467
0.4551,1.3467
0.4557,1.3467
0.4562,1.3518
0.4567,1.3518
0.4572,1.3518
0.4578,1.3518
0.4583,1.3518
0.4588,1.3467
0.4593,1.3467
0.4598,1.3467
0.4604,1.3467
0.4609,1.3467
0.4614,1.3518
0.4619,1.3518
0.4625,1.3467
0.4630,1.3518
0.4635,1.3518
0.4640,1.3467
0.4646,1.3467
0.4651,1.3518
0.4656,1.3467
0.4661,1.3467
0.4667,1.3467
0.4672,1.3467
0.4677,1.3467
0.4682,1.3518
0.4687,1.3467
0.4693,1.3467
0.4698,1.3467
0.4703,1.3467
0.4708,1.3467
0.4714,1.3467
0.4719,1.3417
0.4724,1.3467
0.4729,1.3467
0.4734,1.3467
0.4740,1.3417
0.4745,1.3467
0.4750,1.3467
0.4755,1.3467
0.4761,1.3467
0.4766,1.3467
0.4771,1.3467
0.4776,1.3467
0.4781,1.3417
0.4787,1.3518
0.4792,1.3467
0.4797,1.3467
0.4802,1.3467
0.4808,1.3467
0.4813,1.3467
0.4818,1.3467
0.4823,1.3467
0.4829,1.3417
0.4834,1.3467
0.4839,1.3417
0.4844,1.3417
0.4850,1.3467
0.4855,1.3417
0.4860,1.3467
0.4865,1.3417
0.4870,1.3417
0.4876,1.3467
0.4881,1.3367
0.4886,1.3417
0.4891,1.3367
0.4897,1.3417
0.4902,1.3417
0.4907,1.3417
0.4912,1.3417
0.4917,1.3417
0.4923,1.3417
0.4928,1.3417
0.4933,1.3467
0.4938,1.3417
0.4944,1.3467
0.4949,1.3467
0.4954,1.3417
0.4959,1.3417
0.4965,1.3417
0.4970,1.3417
0.4975,1.3367
0.4980,1.3417
0.4985,1.3417
0.4991,1.3417
0.4996,1.3417
0.5001,1.3367
0.5006,1.3367
0.5012,1.3417
0.5017,1.3417
0.5022,1.3417
0.5027,1.3417
0.5033,1.3367
0.5038,1.3417
0.5043,1.3467
0.5048,1.3417
0.5053,1.3467
0.5059,1.3417
0.5064,1.3367
0.5069,1.3417
0.5074,1.3417
0.5080,1.3417
0.5086,1.3467
0.5091,1.3367
0.5096,1.3367
0.5102,1.3417
0.5107,1.3417
0.5112,1.3417
0.5117,1.3417
0.5122,1.3367
0.5128,1.3417
0.5133,1.3367
0.5138,1.3367
0.5143,1.3367
0.5149,1.3417
0.5154,1.3417
0.5159,1.3367
0.5164,1.3417
0.5170,1.3417
0.5175,1.3417
0.5180,1.3367
0.5185,1.3367
0.5190,1.3417
0.5196,1.3417
0.5201,1.3367
0.5206,1.3367
0.5211,1.3367
0.5217,1.3417
0.5222,1.3417
0.5227,1.3367
0.5232,1.3417
0.5238,1.3367
0.5243,1.3417
0.5248,1.3417
0.5253,1.3417
0.5258,1.3367
0.5264,1.3367
0.5269,1.3417
0.5274,1.3367
0.5279,1.3367
0.5285,1.3367
0.5290,1.3367
0.5295,1.3417
0.5300,1.3417
0.5306,1.3417
0.5311,1.3417
0.5316,1.3417
0.5321,1.3316
0.5326,1.3417
0.5332,1.3417
0.5337,1.3367
0.5342,1.3417
0.5348,1.3367
0.5363,1.3367
0.5370,1.3417
0.5375,1.3367
0.5381,1.3417
0.5386,1.3367
0.5392,1.3367
0.5397,1.3367
0.5403,1.3367
0.5408,1.3417
0.5414,1.3367
0.5419,1.3367
0.5424,1.3367
0.5429,1.3367
0.5435,1.3316
0.5440,1.3367
0.5445,1.3367
0.5451,1.3367
0.5457,1.3417
0.5463,1.3417
0.5468,1.3367
0.5474,1.3417
0.5481,1.3367
0.5487,1.3367
0.5493,1.3316
0.5499,1.3367
0.5504,1.3316
0.5510,1.3367
0.5517,1.3367
0.5523,1.3316
0.5528,1.3316
0.5534,1.3316
0.5539,1.3266
0.5544,1.3367
0.5549,1.3367
0.5555,1.3367
0.5560,1.3316
0.5565,1.3367
0.5570,1.3417
0.5575,1.3367
0.5581,1.3367
0.5586,1.3367
0.5591,1.3367
0.5596,1.3367
0.5601,1.3367
0.5607,1.3367
0.5612,1.3367
0.5617,1.3367
0.5623,1.3367
0.5628,1.3367
0.5634,1.3417
0.5640,1.3316
0.5647,1.3367
0.5653,1.3367
0.5658,1.3367
0.5663,1.3367
0.5668,1.3316
0.5674,1.3367
0.5679,1.3417
0.5684,1.3367
0.5689,1.3367
0.5694,1.3367
0.5700,1.3367
0.5705,1.3367
0.5710,1.3367
0.5715,1.3367
0.5720,1.3367
0.5726,1.3367
0.5731,1.3367
0.5736,1.3367
0.5741,1.3367
0.5747,1.3417
0.5752,1.3367
0.5757,1.3316
0.5762,1.3367
0.5767,1.3367
0.5773,1.3367
0.5778,1.3316
0.5783,1.3316
0.5789,1.3367
0.5794,1.3316
0.5799,1.3367
0.5804,1.3367
0.5809,1.3367
0.5815,1.3367
0.5820,1.3316
0.5825,1.3316
0.5831,1.3367
0.5836,1.3367
0.5841,1.3367
0.5846,1.3316
0.5852,1.3367
0.5857,1.3367
0.5862,1.3417
0.5867,1.3367
0.5873,1.3367
0.5878,1.3316
0.5884,1.3367
0.5889,1.3367
0.5894,1.3367
0.5900,1.3367
0.5905,1.3316
0.5911,1.3367
0.5916,1.3367
0.5922,1.3367
0.5927,1.3367
0.5933,1.3367
0.5938,1.3367
0.5944,1.3316
0.5949,1.3367
0.5955,1.3367
0.5961,1.3367
0.5966,1.3367
0.5972,1.3367
0.5977,1.3316
0.5982,1.3316
0.5988,1.3266
0.5993,1.3367
0.5999,1.3316
0.6004,1.3316
0.6010,1.3316
0.6015,1.3367
0.6021,1.3367
0.6026,1.3316
0.6032,1.3367
0.6037,1.3316
0.6042,1.3367
0.6048,1.3316
0.6053,1.3367
0.6059,1.3316
0.6064,1.3316
0.6070,1.3316
0.6075,1.3316
0.6081,1.3316
0.6086,1.3367
0.6092,1.3367
0.6097,1.3367
0.6103,1.3367
0.6108,1.3316
0.6113,1.3316
0.6119,1.3367
0.6124,1.3316
0.6130,1.3316
0.6136,1.3367
0.6142,1.3367
0.6147,1.3367
0.6153,1.3367
0.6158,1.3367
0.6163,1.3367
0.6169,1.3316
0.6174,1.3367
0.6180,1.3367
0.6185,1.3367
0.6191,1.3367
0.6196,1.3367
0.6202,1.3316
0.6207,1.3316
0.6213,1.3367
0.6218,1.3316
0.6224,1.3367
0.6229,1.3367
0.6234,1.3316
0.6240,1.3316
0.6245,1.3316
0.6251,1.3367
0.6256,1.3367
0.6262,1.3316
0.6267,1.3316
0.6273,1.3316
0.6278,1.3316
0.6284,1.3316
0.6289,1.3367
0.6295,1.3316
0.6300,1.3316
0.6305,1.3367
0.6311,1.3316
0.6316,1.3316
0.6322,1.3316
0.6327,1.3316
0.6333,1.3316
0.6338,1.3316
0.6344,1.3266
0.6349,1.3266
0.6355,1.3316
0.6360,1.3367
0.6366,1.3316
0.6371,1.3316
0.6376,1.3316
0.6382,1.3316
0.6387,1.3367
0.6393,1.3316
0.6398,1.3316
0.6404,1.3316
0.6409,1.3316
0.6415,1.3367
0.6420,1.3316
0.6426,1.3316
0.6431,1.3316
0.6437,1.3316
0.6442,1.3316
0.6448,1.3316
0.6453,1.3367
0.6459,1.3316
0.6464,1.3367
0.6470,1.3316
0.6475,1.3316
0.6481,1.3266
0.6486,1.3316
0.6492,1.3266
0.6497,1.3316
0.6503,1.3266
0.6508,1.3316
0.6514,1.3367
0.6519,1.3266
0.6525,1.3316
0.6530,1.3316
0.6536,1.3316
0.6541,1.3266
0.6547,1.3316
0.6552,1.3316
0.6558,1.3316
0.6563,1.3367
0.6569,1.3316
0.6574,1.3316
0.6580,1.3367
0.6585,1.3266
0.6591,1.3316
0.6596,1.3266
0.6602,1.3316
0.6607,1.3316
0.6613,1.3316
0.6618,1.3316
0.6624,1.3316
0.6629,1.3316
0.6635,1.3316
0.6640,1.3266
0.6646,1.3316
0.6651,1.3316
0.6657,1.3316
0.6662,1.3316
0.6668,1.3316
0.6673,1.3316
0.6679,1.3316
0.6684,1.3316
0.6690,1.3266
0.6695,1.3266
0.6700,1.3316
0.6706,1.3316
0.6711,1.3266
0.6717,1.3266
0.6722,1.3316
0.6728,1.3316
0.6733,1.3316
0.6739,1.3316
0.6744,1.3266
0.6750,1.3316
0.6755,1.3316
0.6761,1.3316
0.6766,1.3266
0.6772,1.3316
0.6777,1.3316
0.6783,1.3316
0.6788,1.3316
0.6794,1.3316
0.6799,1.3316
0.6805,1.3266
0.6810,1.3316
0.6816,1.3266
0.6822,1.3316
0.6827,1.3266
0.6833,1.3316
0.6838,1.3266
0.6844,1.3316
0.6849,1.3316
0.6855,1.3316
0.6860,1.3316
0.6866,1.3266
0.6871,1.3316
0.6877,1.3266
0.6882,1.3266
0.6888,1.3316
0.6893,1.3266
0.6899,1.3316
0.6904,1.3266
0.6910,1.3266
0.6915,1.3316
0.6921,1.3316
0.6926,1.3266
0.6932,1.3316
0.6937,1.3215
0.6943,1.3266
0.6948,1.3266
0.6954,1.3266
0.6959,1.3316
0.6965,1.3316
0.6970,1.3316
0.6976,1.3266
0.6981,1.3266
0.6987,1.3266
0.6992,1.3316
0.6998,1.3215
0.7003,1.3266
0.7009,1.3215
0.7014,1.3266
0.7020,1.3316
0.7025,1.3266
0.7031,1.3266
0.7036,1.3316
0.7042,1.3316
0.7047,1.3215
0.7053,1.3316
0.7058,1.3266
0.7064,1.3266
0.7069,1.3266
0.7075,1.3215
0.7080,1.3316
0.7086,1.3215
0.7091,1.3266
0.7097,1.3266
0.7102,1.3316
0.7108,1.3316
0.7113,1.3266
0.7119,1.3266
0.7124,1.3316
0.7130,1.3266
0.7135,1.3266
0.7141,1.3266
0.7146,1.3266
0.7152,1.3266
0.7157,1.3266
0.7163,1.3266
0.7168,1.3266
0.7174,1.3266
0.7179,1.3266
0.7185,1.3266
0.7190,1.3266
0.7196,1.3266
0.7201,1.3316
0.7207,1.3266
0.7212,1.3215
0.7218,1.3266
0.7223,1.3266
0.7229,1.3266
0.7234,1.3316
0.7240,1.3215
0.7245,1.3316
0.7250,1.3215
0.7256,1.3266
0.7261,1.3266
0.7267,1.3266
0.7272,1.3266
0.7278,1.3266
0.7283,1.3266
0.7289,1.3266
0.7294,1.3266
0.7300,1.3266
0.7305,1.3266
0.7311,1.3266
0.7316,1.3215
0.7327,1.3266
0.7332,1.3266
0.7338,1.3215
0.7344,1.3215
0.7349,1.3266
0.7355,1.3266
0.7360,1.3266
0.7366,1.3215
0.7371,1.3215
0.7377,1.3316
0.7382,1.3266
0.7388,1.3266
0.7393,1.3266
0.7399,1.3266
0.7404,1.3266
0.7409,1.3215
0.7415,1.3266
0.7420,1.3215
0.7426,1.3266
0.7431,1.3215
0.7437,1.3266
0.7443,1.3266
